"","x","y","layer_Categories","cum_cost"
"1",100,100,"Forest",0
"2",100,300,"Water",0
"3",100,500,"Water",0
"4",100,700,"Water",0
"5",100,900,"Water",0
"6",100,1100,"Water",0
"7",100,1300,"Water",0
"8",100,1500,"Water",0
"9",100,1700,"Water",0
"10",100,1900,"Water",0
"11",100,2100,"Water",0
"12",100,2300,"Water",0
"13",100,2500,"Water",0
"14",100,2700,"Water",0
"15",100,2900,"Forest",0
"16",100,3100,"Forest",0
"17",100,3300,"Forest",0
"18",100,3500,"Forest",0
"19",100,3700,"Forest",0
"20",100,3900,"Forest",0
"21",100,4100,"Forest",0
"22",100,4300,"Forest",0
"23",100,4500,"Forest",0
"24",100,4700,"Forest",0
"25",100,4900,"Forest",0
"26",100,5100,"Forest",0
"27",100,5300,"Forest",0
"28",100,5500,"Beef",0.249640712850864
"29",100,5700,"Forest",0
"30",100,5900,"Beef",0.264738120578817
"31",100,6100,"Forest",0
"32",100,6300,"Beef",0.446933508770133
"33",100,6500,"Corn",0.00183499620818204
"34",100,6700,"Corn",0.00304891741766594
"35",100,6900,"Corn",0.00153064668727784
"36",100,7100,"Corn",0.000880103254344819
"37",100,7300,"Corn",0.00135045421639956
"38",100,7500,"Beef",0.277233806298444
"39",100,7700,"Corn",0.00197097038071849
"40",100,7900,"Corn",0.00134325338120614
"41",100,8100,"Corn",0.000837229371556689
"42",100,8300,"Corn",0.00147239455977867
"43",100,8500,"Corn",0.00257098078562823
"44",100,8700,"Corn",0.00170321605889449
"45",100,8900,"Corn",0.000647387620970963
"46",100,9100,"Corn",0.00167521032184909
"47",100,9300,"Corn",0.0027091328347722
"48",100,9500,"Corn",0.00713668639525181
"49",100,9700,"Corn",0.00576699214829767
"50",100,9900,"Corn",0.00161220759820257
"51",100,10100,"Beef",0.195315262950052
"52",100,10300,"Corn",0.00108614747221891
"53",100,10500,"Beef",0.236787657399778
"54",100,10700,"Beef",0.32211783214043
"55",100,10900,"Beef",1.14637929489438
"56",100,11100,"Corn",0.000796855205054599
"57",100,11300,"Corn",0.00432192701620508
"58",100,11500,"Corn",0.00239397315803808
"59",100,11700,"Corn",0.0052753759575834
"60",100,11900,"Beef",0.254931047501695
"61",100,12100,"Beef",0.210810051841236
"62",100,12300,"Forest",0
"63",100,12500,"Beef",0.236108290460562
"64",100,12700,"Beef",0.178757415133428
"65",100,12900,"Forest",0
"66",100,13100,"Forest",0
"67",100,13300,"Forest",0
"68",100,13500,"Forest",0
"69",100,13700,"Forest",0
"70",100,13900,"Forest",0
"71",100,14100,"Forest",0
"72",100,14300,"Forest",0
"73",100,14500,"Forest",0
"74",100,14700,"Forest",0
"75",100,14900,"Forest",0
"76",100,15100,"Forest",0
"77",100,15300,"Forest",0
"78",100,15500,"Forest",0
"79",100,15700,"Forest",0
"80",100,15900,"Forest",0
"81",100,16100,"Forest",0
"82",100,16300,"Forest",0
"83",100,16500,"Beef",0.508138464520931
"84",100,16700,"Beef",0.277956564340427
"85",100,16900,"Corn",0.004504076677478
"86",100,17100,"Corn",0.00178613611847096
"87",100,17300,"Corn",0.00100153232356416
"88",100,17500,"Corn",0.000607936640524237
"89",100,17700,"Corn",0.00281140234983669
"90",100,17900,"Corn",0.00152936615809726
"91",100,18100,"Corn",0.00164836603922009
"92",100,18300,"Corn",0.00108314804145929
"93",100,18500,"Corn",0.000488198288481818
"94",100,18700,"Corn",0.00337486102482405
"95",100,18900,"Corn",0.00544791249674515
"96",100,19100,"Corn",0.000810175396210941
"97",100,19300,"Corn",0.0025851606845692
"98",100,19500,"Corn",0.00069819767025103
"99",100,19700,"Corn",0.00183954383112585
"100",100,19900,"Corn",0.000554707811563993
"101",300,100,"Water",0
"102",300,300,"Water",0
"103",300,500,"Water",0
"104",300,700,"Water",0
"105",300,900,"Water",0
"106",300,1100,"Water",0
"107",300,1300,"Water",0
