Product,stressor,value,LUC Burn,LUC C Stock,Feed,Farm,Prcssing,Tran & Str,Packging,"Ret
ail",Loss,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,4.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,1,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,4.8,0.1,2.5,0,1.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.6,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,3.2,0,0.5,0,1.9,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.5,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,4.5,0,4.00E-02,0,3.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.6,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,1,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.00E-01,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,4,1.00E-01,2.6,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.4,
Maize,GHG_emissions,1,0,0.3,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,8.3,0.4,5.8,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.3,
Maize,GHG_emissions,2.1,8.00E-02,1,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,3,0.1,1.8,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.4,
Maize,GHG_emissions,0.9,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,0.7,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.8,0,0.1,0,1.1,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.4,
Maize,GHG_emissions,5.3,0.2,3.9,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.7,
Maize,GHG_emissions,1.6,0.3,0.6,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,0.7,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,3.4,0,2.3,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.6,
Maize,GHG_emissions,3.6,0,0,0,2.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.4,
Maize,GHG_emissions,2.6,6.00E-03,1.4,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,1.1,0,0,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,1.9,0,0.7,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,0.7,0,0,0,0.5,,,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.6,,,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.7,0,0,0,0.5,,,9.00E-02,4.00E-02,7.00E-02,
